20  20  0.50
0.400000   0.400000   0.400000   0.400000   0.400000   0.400000   0.400000   0.400000   0.400000   0.400000   0.400000   0.400000   0.400000   0.400000   0.400000   0.400000   0.400000   0.400000   0.400000   0.400000   
0.387565   0.387565   0.387565   0.387565   0.387565   0.387565   0.387565   0.387565   0.387565   0.387565   0.387565   0.387565   0.387565   0.387565   0.387565   0.387565   0.387565   0.387565   0.387565   0.387565   
0.351033   0.351033   0.351033   0.351033   0.351033   0.351033   0.351033   0.351033   0.351033   0.351033   0.351033   0.351033   0.351033   0.351033   0.351033   0.351033   0.351033   0.351033   0.351033   0.351033   
0.292676   0.292676   0.292676   0.292676   0.292676   0.292676   0.292676   0.292676   0.292676   0.292676   0.292676   0.292676   0.292676   0.292676   0.292676   0.292676   0.292676   0.292676   0.292676   0.292676   
0.216121   0.216121   0.216121   0.216121   0.216121   0.216121   0.216121   0.216121   0.216121   0.216121   0.216121   0.216121   0.216121   0.216121   0.216121   0.216121   0.216121   0.216121   0.216121   0.216121   
0.126129   0.126129   0.126129   0.126129   0.126129   0.126129   0.126129   0.126129   0.126129   0.126129   0.126129   0.126129   0.126129   0.126129   0.126129   0.126129   0.126129   0.126129   0.126129   0.126129   
0.028295   0.028295   0.028295   0.028295   0.028295   0.028295   0.028295   0.028295   0.028295   0.028295   0.028295   0.028295   0.028295   0.028295   0.028295   0.028295   0.028295   0.028295   0.028295   0.028295   
-0.071298   -0.071298   -0.071298   -0.071298   -0.071298   -0.071298   -0.071298   -0.071298   -0.071298   -0.071298   -0.071298   -0.071298   -0.071298   -0.071298   -0.071298   -0.071298   -0.071298   -0.071298   -0.071298   -0.071298   
-0.166459   -0.166459   -0.166459   -0.166459   -0.166459   -0.166459   -0.166459   -0.166459   -0.166459   -0.166459   -0.166459   -0.166459   -0.166459   -0.166459   -0.166459   -0.166459   -0.166459   -0.166459   -0.166459   -0.166459   
-0.251269   -0.251269   -0.251269   -0.251269   -0.251269   -0.251269   -0.251269   -0.251269   -0.251269   -0.251269   -0.251269   -0.251269   -0.251269   -0.251269   -0.251269   -0.251269   -0.251269   -0.251269   -0.251269   -0.251269   
-0.320457   -0.320457   -0.320457   -0.320457   -0.320457   -0.320457   -0.320457   -0.320457   -0.320457   -0.320457   -0.320457   -0.320457   -0.320457   -0.320457   -0.320457   -0.320457   -0.320457   -0.320457   -0.320457   -0.320457   
-0.369721   -0.369721   -0.369721   -0.369721   -0.369721   -0.369721   -0.369721   -0.369721   -0.369721   -0.369721   -0.369721   -0.369721   -0.369721   -0.369721   -0.369721   -0.369721   -0.369721   -0.369721   -0.369721   -0.369721   
-0.395997   -0.395997   -0.395997   -0.395997   -0.395997   -0.395997   -0.395997   -0.395997   -0.395997   -0.395997   -0.395997   -0.395997   -0.395997   -0.395997   -0.395997   -0.395997   -0.395997   -0.395997   -0.395997   -0.395997   
-0.397652   -0.397652   -0.397652   -0.397652   -0.397652   -0.397652   -0.397652   -0.397652   -0.397652   -0.397652   -0.397652   -0.397652   -0.397652   -0.397652   -0.397652   -0.397652   -0.397652   -0.397652   -0.397652   -0.397652   
-0.374583   -0.374583   -0.374583   -0.374583   -0.374583   -0.374583   -0.374583   -0.374583   -0.374583   -0.374583   -0.374583   -0.374583   -0.374583   -0.374583   -0.374583   -0.374583   -0.374583   -0.374583   -0.374583   -0.374583   
-0.328224   -0.328224   -0.328224   -0.328224   -0.328224   -0.328224   -0.328224   -0.328224   -0.328224   -0.328224   -0.328224   -0.328224   -0.328224   -0.328224   -0.328224   -0.328224   -0.328224   -0.328224   -0.328224   -0.328224   
-0.261457   -0.261457   -0.261457   -0.261457   -0.261457   -0.261457   -0.261457   -0.261457   -0.261457   -0.261457   -0.261457   -0.261457   -0.261457   -0.261457   -0.261457   -0.261457   -0.261457   -0.261457   -0.261457   -0.261457   
-0.178435   -0.178435   -0.178435   -0.178435   -0.178435   -0.178435   -0.178435   -0.178435   -0.178435   -0.178435   -0.178435   -0.178435   -0.178435   -0.178435   -0.178435   -0.178435   -0.178435   -0.178435   -0.178435   -0.178435   
-0.084318   -0.084318   -0.084318   -0.084318   -0.084318   -0.084318   -0.084318   -0.084318   -0.084318   -0.084318   -0.084318   -0.084318   -0.084318   -0.084318   -0.084318   -0.084318   -0.084318   -0.084318   -0.084318   -0.084318   
0.015041   0.015041   0.015041   0.015041   0.015041   0.015041   0.015041   0.015041   0.015041   0.015041   0.015041   0.015041   0.015041   0.015041   0.015041   0.015041   0.015041   0.015041   0.015041   0.015041   
